SKU,price_today,date-1yr,price_1yr,price_change_1yr (%),date-2yr,price_2yr_ago,price_change_2yr (%),date-3yr,price_3yr_ago,price_change_3yr (%)
00-839587,2.19,2025-01-07,0.74,195.95,2024-01-10,0.99,121.21,2022-11-20,0.99,121.21
00-507237,3.99,2025-01-07,1.49,167.79,2024-01-10,2.79,43.01,2022-11-27,2.49,60.24
00-864945,7.79,2024-02-25,3.14,148.09,2023-11-12,3.14,148.09,2022-11-13,3.14,148.09
00-440728,8.45,2025-01-08,3.49,142.12,2024-01-11,6.99,20.89,2022-11-10,5.99,41.07
00-885261,3.49,2024-02-25,1.49,134.23,2023-11-12,1.49,134.23,,,
00-440245,10.39,2025-01-08,4.49,131.4,2022-11-10,7.99,30.04,2022-11-10,7.99,30.04
00-441943,10.25,2025-01-08,4.49,128.29,2023-01-19,7.99,28.29,2022-10-27,7.49,36.85
00-930899,4.99,2024-08-14,2.19,127.85,2023-05-13,1.99,150.75,2019-05-02,1.99,150.75
00-760095,4.49,2024-12-25,1.99,125.63,,,,,,
00-860436,2.19,2025-01-02,0.99,121.21,2023-11-30,1.79,22.35,2023-01-01,1.79,22.35
